id,source_file,question,type,answer,raw,option_A,option_B,option_C,option_D
1,1-单选1（国防法规）.docx,单选1（国防法规）,未知,,单选1（国防法规）,,,,
2,1-单选1（国防法规）.docx,1. 中华人民共和国国旗法于(    )第七届全国人民代表大会常务委员会第十四次会议通过。,单选,A,"1. 中华人民共和国国旗法于(    )第七届全国人民代表大会常务委员会第十四次会议通过。
A、1990年6月28日
B、1993年6月28日
C、1995年6月28日
D、1999年6月28日
正确答案：A
答案解析：中华人民共和国国旗法于1990年6月28日第七届全国人民代表大会常务委员会第十四次会议通过。",A. 1990年6月28日,B. 1993年6月28日,C. 1995年6月28日,D. 1999年6月28日 正确答案：A 答案解析：中华人民共和国国旗法于1990年6月28日第七届全国人民代表大会常务委员会第十四次会议通过。
3,1-单选1（国防法规）.docx,2. 中华人民共和国国旗法根据(    )第十一届全国人民代表大会常务委员会第十次会议《关于修改部分法律的决定》第一次修正。,单选,D,"2. 中华人民共和国国旗法根据(    )第十一届全国人民代表大会常务委员会第十次会议《关于修改部分法律的决定》第一次修正。
A、2009年5月25日
B、2009年6月23日
C、2009年7月17日
D、2009年8月27日
正确答案：D
答案解析：中华人民共和国国旗法根据2009年8月27日第十一届全国人民代表大会常务委员会第十次会议《关于修改部分法律的决定》第一次修正。",A. 2009年5月25日,B. 2009年6月23日,C. 2009年7月17日,D. 2009年8月27日 正确答案：D 答案解析：中华人民共和国国旗法根据2009年8月27日第十一届全国人民代表大会常务委员会第十次会议《关于修改部分法律的决定》第一次修正。
4,1-单选1（国防法规）.docx,3. 中华人民共和国国旗法根据2020年10月17日第十三届全国人民代表大会常务委员会第二十二次会议《关于修改<中华人民共和国国旗法>的决定》第(    )修正。,单选,C,"3. 中华人民共和国国旗法根据2020年10月17日第十三届全国人民代表大会常务委员会第二十二次会议《关于修改<中华人民共和国国旗法>的决定》第(    )修正。
A、四次
B、三次
C、二次
D、一次
正确答案：C
答案解析：中华人民共和国国旗法根据2020年10月17日第十三届全国人民代表大会常务委员会第二十二次会议《关于修改<中华人民共和国国旗法>的决定》第二次修正",A. 四次,B. 三次,C. 二次,D. 一次 正确答案：C 答案解析：中华人民共和国国旗法根据2020年10月17日第十三届全国人民代表大会常务委员会第二十二次会议《关于修改<中华人民共和国国旗法>的决定》第二次修正
5,1-单选1（国防法规）.docx,4. 中华人民共和国国旗法2020年10月17日，中华人民共和国主席习近平签署第59号主席令公布，自（    ）起施行。,单选,C,"4. 中华人民共和国国旗法2020年10月17日，中华人民共和国主席习近平签署第59号主席令公布，自（    ）起施行。
A、2020年10月17日
B、2020年10月18日
C、2021年1月1日
D、2021年2月1日
正确答案：C
答案解析：中华人民共和国国旗法2020年10月17日，中华人民共和国主席习近平签署第59号主席令公布，自2021年1月1日起施行。",A. 2020年10月17日,B. 2020年10月18日,C. 2021年1月1日,D. 2021年2月1日 正确答案：C 答案解析：中华人民共和国国旗法2020年10月17日，中华人民共和国主席习近平签署第59号主席令公布，自2021年1月1日起施行。
6,1-单选1（国防法规）.docx,5. 为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据(    )，制定中华人民共和国国旗法。,单选,D,"5. 为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据(    )，制定中华人民共和国国旗法。
A、行政法规
B、地方性法规
C、地方政府规章
D、宪法
正确答案：D
答案解析：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据宪法，制定中华人民共和国国旗法。",A. 行政法规,B. 地方性法规,C. 地方政府规章,D. 宪法 正确答案：D 答案解析：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据宪法，制定中华人民共和国国旗法。
7,1-单选1（国防法规）.docx,6. 中华人民共和国国旗按照中国人民政治协商会议第（   ）届全体会议主席团公布的国旗制法说明制作。,单选,D,"6. 中华人民共和国国旗按照中国人民政治协商会议第（   ）届全体会议主席团公布的国旗制法说明制作。
A、四
B、三
C、二
D、一
正确答案：D
答案解析：中华人民共和国国旗按照中国人民政治协商会议第一届全体会议主席团公布的国旗制法说明制作。",A. 四,B. 三,C. 二,D. 一 正确答案：D 答案解析：中华人民共和国国旗按照中国人民政治协商会议第一届全体会议主席团公布的国旗制法说明制作。
8,1-单选1（国防法规）.docx,7. 我国国旗通用尺度为国旗制法说明中所列明的有（    ）种尺度。,单选,A,"7. 我国国旗通用尺度为国旗制法说明中所列明的有（    ）种尺度。
A、五
B、四
C、三
D、二
正确答案：A
答案解析：我国国旗通用尺度为国旗制法说明中所列明的五种尺度。",A. 五,B. 四,C. 三,D. 二 正确答案：A 答案解析：我国国旗通用尺度为国旗制法说明中所列明的五种尺度。
9,1-单选1（国防法规）.docx,8. 特殊情况下不使用国旗制法规定国旗尺度时，以下做法正确的是（   ）,单选,B,"8. 特殊情况下不使用国旗制法规定国旗尺度时，以下做法正确的是（   ）
A、可根据自身的喜爱决定尺度
B、应当按照通用尺度成比例适当放大或者缩小
C、与周围建筑、周边环境相适应即可
D、只要国旗大小能按国旗法规定，旗杆的高度可以自由调节
正确答案：B
答案解析：特殊情况下不使用国旗制法规定国旗尺度时，应当按照通用尺度成比例适当放大或者缩小",A. 可根据自身的喜爱决定尺度,B. 应当按照通用尺度成比例适当放大或者缩小,C. 与周围建筑、周边环境相适应即可,D. 只要国旗大小能按国旗法规定，旗杆的高度可以自由调节 正确答案：B 答案解析：特殊情况下不使用国旗制法规定国旗尺度时，应当按照通用尺度成比例适当放大或者缩小
10,1-单选1（国防法规）.docx,"9. 下列场所所在地,应当每日升挂国旗的有（    ）",单选,B,"9. 下列场所所在地,应当每日升挂国旗的有（    ）
A、各所学校
B、出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所
C、各机关单位办公点
D、各旅游景点
正确答案：B
答案解析：出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所，应当每日升挂国旗。",A. 各所学校,B. 出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所,C. 各机关单位办公点,D. 各旅游景点 正确答案：B 答案解析：出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所，应当每日升挂国旗。
