id,source_file,question,type,answer,raw,option_A,option_B
1,7-判断1（国防法规、三大条令）.docx,判断1（国防法规、三大条令）,未知,,判断1（国防法规、三大条令）,,
2,7-判断1（国防法规、三大条令）.docx,1.城市是人民防空的重点。 正确答案：正确,判断,对,"1.城市是人民防空的重点。
正确答案：正确",对,错
3,7-判断1（国防法规、三大条令）.docx,2.现代国防又叫社会国防、大国防、全民国防。 正确答案：正确,判断,对,"2.现代国防又叫社会国防、大国防、全民国防。
正确答案：正确",对,错
4,7-判断1（国防法规、三大条令）.docx,3.《全民国防教育大纲》规定了国防教育的核心内容是：国防理论、国防知识、国防历史、国防法规、国防形势与任务、国防技能。 正确答案：正确,判断,对,"3.《全民国防教育大纲》规定了国防教育的核心内容是：国防理论、国防知识、国防历史、国防法规、国防形势与任务、国防技能。
正确答案：正确",对,错
5,7-判断1（国防法规、三大条令）.docx,4.军事思想来源于军事实践，并不指导军事实践。 正确答案：错误,判断,错,"4.军事思想来源于军事实践，并不指导军事实践。
正确答案：错误",对,错
6,7-判断1（国防法规、三大条令）.docx,5.国家治理不同于国家统治，社会治理也不同于社会管理。 正确答案：正确,判断,对,"5.国家治理不同于国家统治，社会治理也不同于社会管理。
正确答案：正确",对,错
7,7-判断1（国防法规、三大条令）.docx,6.日本企图通过构建“日本 -美国 -印度尼西亚 -澳大利亚”联合干预体制介入南海问题。 正确答案：错误,判断,错,"6.日本企图通过构建“日本 -美国 -印度尼西亚 -澳大利亚”联合干预体制介入南海问题。
正确答案：错误",对,错
8,7-判断1（国防法规、三大条令）.docx,7.中俄两国的政治互信还需要进一步加强， 特别是需要通过公共外交、 人文外交，使俄罗斯对我国人民爱好和平、友好的传统有正确的认知。 正确答案：正确,判断,对,"7.中俄两国的政治互信还需要进一步加强， 特别是需要通过公共外交、 人文外交，使俄罗斯对我国人民爱好和平、友好的传统有正确的认知。
正确答案：正确",对,错
9,7-判断1（国防法规、三大条令）.docx,8.台湾政党“时代力量”避免置身于“蓝绿”二元格局，其强调台湾的主体性。 正确答案：正确,判断,对,"8.台湾政党“时代力量”避免置身于“蓝绿”二元格局，其强调台湾的主体性。
正确答案：正确",对,错
10,7-判断1（国防法规、三大条令）.docx,9.推进“一带一路”建设，符合各国的共同利益。 正确答案：正确,判断,对,"9.推进“一带一路”建设，符合各国的共同利益。
正确答案：正确",对,错
